YEAR,WEEK,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,ILI percent
1997,40,179,X,157,205,X,29,570,46842,1.216856667
1997,41,199,X,151,242,X,23,615,48023,1.280636362
1997,42,228,X,153,266,X,34,681,54961,1.239060425
1997,43,188,X,193,236,X,36,653,57044,1.144730384
1997,44,217,X,162,280,X,41,700,55506,1.261124923
1997,45,178,X,148,281,X,48,655,51062,1.282754299
1997,46,294,X,240,328,X,70,932,64463,1.445790609
1997,47,288,X,293,456,X,63,1100,66749,1.647964764
1997,48,268,X,206,343,X,69,886,52890,1.675174891
1997,49,299,X,282,415,X,102,1098,67887,1.61739361
1997,50,346,X,268,388,X,81,1083,61314,1.766317644
1997,51,348,X,235,362,X,59,1004,47719,2.103983738
1997,52,510,X,404,492,X,113,1519,48429,3.136550414
1997,53,579,X,584,576,X,207,1946,52333,3.718495022
1998,1,639,X,759,810,X,207,2415,67228,3.592253228
1998,2,690,X,654,1121,X,148,2613,70828,3.689218953
1998,3,856,X,679,1440,X,151,3126,67898,4.603964771
1998,4,824,X,817,1600,X,196,3437,69999,4.910070144
1998,5,881,X,769,1471,X,233,3354,69486,4.8268716
1998,6,699,X,671,1101,X,146,2617,66322,3.945900305
1998,7,457,X,523,849,X,119,1948,62675,3.108097327
1998,8,313,X,330,534,X,112,1289,60247,2.13952562
1998,9,241,X,214,308,X,64,827,57449,1.439537677
1998,10,201,X,183,305,X,59,748,50582,1.47878692
1998,11,162,X,123,249,X,51,585,53889,1.085564772
1998,12,156,X,93,196,X,41,486,48699,0.997967104
1998,13,90,X,92,144,X,32,358,48105,0.744205384
1998,14,82,X,93,152,X,41,368,42959,0.856630741
1998,15,64,X,73,106,X,19,262,42140,0.621737067
1998,16,82,X,68,100,X,15,265,39496,0.670954021
1998,17,58,X,61,120,X,27,266,38324,0.694082037
1998,18,39,X,64,93,X,13,209,35821,0.583456632
